generation_id,task,task_family,model,rep,executes,unit_test_pass,confirmatory_core,canonical_residual,threshold,generic_baseline_caught,differential_applicable,differential_fail
fir_unity_dc_gain__qwen-2.5-72b-instruct__rep1,fir_unity_dc_gain,filter,qwen/qwen-2.5-72b-instruct,1,True,True,0,1.1102230246251565e-16,0.001,False,True,True
fir_unity_dc_gain__qwen-2.5-72b-instruct__rep2,fir_unity_dc_gain,filter,qwen/qwen-2.5-72b-instruct,2,True,True,0,2.220446049250313e-16,0.001,False,True,False
fir_unity_dc_gain__qwen-2.5-72b-instruct__rep3,fir_unity_dc_gain,filter,qwen/qwen-2.5-72b-instruct,3,True,True,0,2.220446049250313e-16,0.001,False,True,False
butterworth_3db_gain__qwen-2.5-72b-instruct__rep0,butterworth_3db_gain,filter,qwen/qwen-2.5-72b-instruct,0,True,True,0,0.0,0.001,False,True,False
butterworth_3db_gain__qwen-2.5-72b-instruct__rep1,butterworth_3db_gain,filter,qwen/qwen-2.5-72b-instruct,1,True,True,0,0.0,0.001,False,True,False
butterworth_3db_gain__qwen-2.5-72b-instruct__rep2,butterworth_3db_gain,filter,qwen/qwen-2.5-72b-instruct,2,True,True,0,0.0,0.001,False,True,False
butterworth_3db_gain__qwen-2.5-72b-instruct__rep3,butterworth_3db_gain,filter,qwen/qwen-2.5-72b-instruct,3,True,True,0,0.0,0.001,False,True,False
freqz_db_magnitude__qwen-2.5-72b-instruct__rep0,freqz_db_magnitude,filter,qwen/qwen-2.5-72b-instruct,0,True,True,0,0.0,0.02,False,True,False
freqz_db_magnitude__qwen-2.5-72b-instruct__rep1,freqz_db_magnitude,filter,qwen/qwen-2.5-72b-instruct,1,True,True,0,0.0,0.02,False,True,False
freqz_db_magnitude__qwen-2.5-72b-instruct__rep2,freqz_db_magnitude,filter,qwen/qwen-2.5-72b-instruct,2,True,True,0,0.0,0.02,False,True,False
freqz_db_magnitude__qwen-2.5-72b-instruct__rep3,freqz_db_magnitude,filter,qwen/qwen-2.5-72b-instruct,3,True,True,0,0.0,0.02,False,True,False
iir_impulse_energy__qwen-2.5-72b-instruct__rep0,iir_impulse_energy,filter,qwen/qwen-2.5-72b-instruct,0,True,True,0,0.0,0.0001,False,True,False
iir_impulse_energy__qwen-2.5-72b-instruct__rep1,iir_impulse_energy,filter,qwen/qwen-2.5-72b-instruct,1,True,True,0,0.0,0.0001,False,True,False
iir_impulse_energy__qwen-2.5-72b-instruct__rep2,iir_impulse_energy,filter,qwen/qwen-2.5-72b-instruct,2,True,True,0,0.0,0.0001,False,True,False
iir_impulse_energy__qwen-2.5-72b-instruct__rep3,iir_impulse_energy,filter,qwen/qwen-2.5-72b-instruct,3,True,True,0,0.0,0.0001,False,True,False
fft_amplitude_one_sided__llama-3.3-70b-instruct__rep0,fft_amplitude_one_sided,spectral,meta-llama/llama-3.3-70b-instruct,0,True,True,0,7.401486830834377e-16,0.02,False,True,True
fft_amplitude_one_sided__llama-3.3-70b-instruct__rep1,fft_amplitude_one_sided,spectral,meta-llama/llama-3.3-70b-instruct,1,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_one_sided__llama-3.3-70b-instruct__rep2,fft_amplitude_one_sided,spectral,meta-llama/llama-3.3-70b-instruct,2,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_one_sided__llama-3.3-70b-instruct__rep3,fft_amplitude_one_sided,spectral,meta-llama/llama-3.3-70b-instruct,3,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_two_sided__llama-3.3-70b-instruct__rep0,fft_amplitude_two_sided,spectral,meta-llama/llama-3.3-70b-instruct,0,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_two_sided__llama-3.3-70b-instruct__rep1,fft_amplitude_two_sided,spectral,meta-llama/llama-3.3-70b-instruct,1,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_two_sided__llama-3.3-70b-instruct__rep2,fft_amplitude_two_sided,spectral,meta-llama/llama-3.3-70b-instruct,2,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_two_sided__llama-3.3-70b-instruct__rep3,fft_amplitude_two_sided,spectral,meta-llama/llama-3.3-70b-instruct,3,True,True,0,7.401486830834377e-16,0.02,False,True,False
parseval_energy_check__llama-3.3-70b-instruct__rep0,parseval_energy_check,spectral,meta-llama/llama-3.3-70b-instruct,0,True,True,1,0.4878745097008991,0.0001,False,True,True
parseval_energy_check__llama-3.3-70b-instruct__rep1,parseval_energy_check,spectral,meta-llama/llama-3.3-70b-instruct,1,True,True,1,255.99269838058984,0.0001,False,True,True
parseval_energy_check__llama-3.3-70b-instruct__rep2,parseval_energy_check,spectral,meta-llama/llama-3.3-70b-instruct,2,True,True,1,0.023999999999999872,0.0001,False,True,False
parseval_energy_check__llama-3.3-70b-instruct__rep3,parseval_energy_check,spectral,meta-llama/llama-3.3-70b-instruct,3,True,True,1,510.3514287056728,0.0001,False,True,True
db_power_amplitude_convention__llama-3.3-70b-instruct__rep0,db_power_amplitude_convention,spectral,meta-llama/llama-3.3-70b-instruct,0,True,True,0,0.0,0.001,False,True,False
db_power_amplitude_convention__llama-3.3-70b-instruct__rep1,db_power_amplitude_convention,spectral,meta-llama/llama-3.3-70b-instruct,1,True,True,0,0.0,0.001,False,True,False
db_power_amplitude_convention__llama-3.3-70b-instruct__rep2,db_power_amplitude_convention,spectral,meta-llama/llama-3.3-70b-instruct,2,True,True,0,0.0,0.001,False,True,False
db_power_amplitude_convention__llama-3.3-70b-instruct__rep3,db_power_amplitude_convention,spectral,meta-llama/llama-3.3-70b-instruct,3,True,True,0,0.0,0.001,False,True,False
freq_axis_mapping__llama-3.3-70b-instruct__rep0,freq_axis_mapping,spectral,meta-llama/llama-3.3-70b-instruct,0,True,True,0,0.0,1e-06,False,True,False
freq_axis_mapping__llama-3.3-70b-instruct__rep1,freq_axis_mapping,spectral,meta-llama/llama-3.3-70b-instruct,1,True,True,0,0.0,1e-06,False,True,False
freq_axis_mapping__llama-3.3-70b-instruct__rep2,freq_axis_mapping,spectral,meta-llama/llama-3.3-70b-instruct,2,True,True,0,0.0,1e-06,False,True,False
freq_axis_mapping__llama-3.3-70b-instruct__rep3,freq_axis_mapping,spectral,meta-llama/llama-3.3-70b-instruct,3,True,True,0,0.0,1e-06,False,True,False
welch_psd_normalization__llama-3.3-70b-instruct__rep0,welch_psd_normalization,spectral,meta-llama/llama-3.3-70b-instruct,0,True,True,0,0.0017062591301592507,0.07180738306316699,False,False,
welch_psd_normalization__llama-3.3-70b-instruct__rep1,welch_psd_normalization,spectral,meta-llama/llama-3.3-70b-instruct,1,True,True,0,0.0017062591301592507,0.07180738306316699,False,False,
welch_psd_normalization__llama-3.3-70b-instruct__rep2,welch_psd_normalization,spectral,meta-llama/llama-3.3-70b-instruct,2,True,True,0,0.0017062591301592507,0.07180738306316699,False,False,
welch_psd_normalization__llama-3.3-70b-instruct__rep3,welch_psd_normalization,spectral,meta-llama/llama-3.3-70b-instruct,3,True,True,0,0.0017062591301592507,0.07180738306316699,False,False,
psd_naive_periodogram__llama-3.3-70b-instruct__rep0,psd_naive_periodogram,spectral,meta-llama/llama-3.3-70b-instruct,0,True,True,1,0.4998091385954712,0.02,False,True,True
psd_naive_periodogram__llama-3.3-70b-instruct__rep1,psd_naive_periodogram,spectral,meta-llama/llama-3.3-70b-instruct,1,True,True,1,0.4999229940624932,0.02,False,True,True
psd_naive_periodogram__llama-3.3-70b-instruct__rep2,psd_naive_periodogram,spectral,meta-llama/llama-3.3-70b-instruct,2,False,False,0,,0.02,,True,
psd_naive_periodogram__llama-3.3-70b-instruct__rep3,psd_naive_periodogram,spectral,meta-llama/llama-3.3-70b-instruct,3,True,True,1,0.4999229940624932,0.02,False,True,True
window_power_normalization__llama-3.3-70b-instruct__rep0,window_power_normalization,spectral,meta-llama/llama-3.3-70b-instruct,0,True,False,0,,0.05,True,True,
window_power_normalization__llama-3.3-70b-instruct__rep1,window_power_normalization,spectral,meta-llama/llama-3.3-70b-instruct,1,True,True,1,0.4999999999999998,0.05,False,True,True
window_power_normalization__llama-3.3-70b-instruct__rep2,window_power_normalization,spectral,meta-llama/llama-3.3-70b-instruct,2,True,True,0,4.440892098500626e-16,0.05,False,True,False
window_power_normalization__llama-3.3-70b-instruct__rep3,window_power_normalization,spectral,meta-llama/llama-3.3-70b-instruct,3,True,True,1,0.4999999999999998,0.05,False,True,True
fir_unity_dc_gain__llama-3.3-70b-instruct__rep0,fir_unity_dc_gain,filter,meta-llama/llama-3.3-70b-instruct,0,True,True,0,2.220446049250313e-16,0.001,False,True,False
fir_unity_dc_gain__llama-3.3-70b-instruct__rep1,fir_unity_dc_gain,filter,meta-llama/llama-3.3-70b-instruct,1,True,True,0,2.220446049250313e-16,0.001,False,True,False
fir_unity_dc_gain__llama-3.3-70b-instruct__rep2,fir_unity_dc_gain,filter,meta-llama/llama-3.3-70b-instruct,2,True,True,0,2.220446049250313e-16,0.001,False,True,False
fir_unity_dc_gain__llama-3.3-70b-instruct__rep3,fir_unity_dc_gain,filter,meta-llama/llama-3.3-70b-instruct,3,True,True,0,2.220446049250313e-16,0.001,False,True,False
butterworth_3db_gain__llama-3.3-70b-instruct__rep0,butterworth_3db_gain,filter,meta-llama/llama-3.3-70b-instruct,0,True,False,0,,0.001,True,True,
butterworth_3db_gain__llama-3.3-70b-instruct__rep1,butterworth_3db_gain,filter,meta-llama/llama-3.3-70b-instruct,1,True,True,0,0.0,0.001,False,True,True
butterworth_3db_gain__llama-3.3-70b-instruct__rep2,butterworth_3db_gain,filter,meta-llama/llama-3.3-70b-instruct,2,True,True,0,0.0,0.001,False,True,False
butterworth_3db_gain__llama-3.3-70b-instruct__rep3,butterworth_3db_gain,filter,meta-llama/llama-3.3-70b-instruct,3,True,True,0,0.0,0.001,False,True,True
freqz_db_magnitude__llama-3.3-70b-instruct__rep0,freqz_db_magnitude,filter,meta-llama/llama-3.3-70b-instruct,0,True,True,1,0.27385632629389467,0.02,False,True,True
freqz_db_magnitude__llama-3.3-70b-instruct__rep1,freqz_db_magnitude,filter,meta-llama/llama-3.3-70b-instruct,1,True,True,1,0.27385632629389467,0.02,False,True,True
freqz_db_magnitude__llama-3.3-70b-instruct__rep2,freqz_db_magnitude,filter,meta-llama/llama-3.3-70b-instruct,2,True,True,1,0.27385632629389467,0.02,False,True,True
freqz_db_magnitude__llama-3.3-70b-instruct__rep3,freqz_db_magnitude,filter,meta-llama/llama-3.3-70b-instruct,3,True,True,1,0.27385632629389467,0.02,False,True,True
iir_impulse_energy__llama-3.3-70b-instruct__rep0,iir_impulse_energy,filter,meta-llama/llama-3.3-70b-instruct,0,True,False,0,,0.0001,True,True,
iir_impulse_energy__llama-3.3-70b-instruct__rep1,iir_impulse_energy,filter,meta-llama/llama-3.3-70b-instruct,1,True,False,0,,0.0001,True,True,
iir_impulse_energy__llama-3.3-70b-instruct__rep2,iir_impulse_energy,filter,meta-llama/llama-3.3-70b-instruct,2,True,False,0,,0.0001,True,True,
iir_impulse_energy__llama-3.3-70b-instruct__rep3,iir_impulse_energy,filter,meta-llama/llama-3.3-70b-instruct,3,True,False,0,,0.0001,True,True,
fft_amplitude_one_sided__deepseek-chat__rep0,fft_amplitude_one_sided,spectral,deepseek/deepseek-chat,0,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_one_sided__deepseek-chat__rep1,fft_amplitude_one_sided,spectral,deepseek/deepseek-chat,1,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_one_sided__deepseek-chat__rep2,fft_amplitude_one_sided,spectral,deepseek/deepseek-chat,2,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_one_sided__deepseek-chat__rep3,fft_amplitude_one_sided,spectral,deepseek/deepseek-chat,3,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_two_sided__deepseek-chat__rep0,fft_amplitude_two_sided,spectral,deepseek/deepseek-chat,0,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_two_sided__deepseek-chat__rep1,fft_amplitude_two_sided,spectral,deepseek/deepseek-chat,1,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_two_sided__deepseek-chat__rep2,fft_amplitude_two_sided,spectral,deepseek/deepseek-chat,2,True,True,0,7.401486830834377e-16,0.02,False,True,False
fft_amplitude_two_sided__deepseek-chat__rep3,fft_amplitude_two_sided,spectral,deepseek/deepseek-chat,3,True,True,0,7.401486830834377e-16,0.02,False,True,False
parseval_energy_check__deepseek-chat__rep0,parseval_energy_check,spectral,deepseek/deepseek-chat,0,True,True,0,1.5509872416418486e-16,0.0001,False,True,False
parseval_energy_check__deepseek-chat__rep1,parseval_energy_check,spectral,deepseek/deepseek-chat,1,True,False,0,0.999,0.0001,True,True,True
parseval_energy_check__deepseek-chat__rep2,parseval_energy_check,spectral,deepseek/deepseek-chat,2,True,False,0,0.998002045534797,0.0001,True,True,True
parseval_energy_check__deepseek-chat__rep3,parseval_energy_check,spectral,deepseek/deepseek-chat,3,True,False,0,,0.0001,True,True,
db_power_amplitude_convention__deepseek-chat__rep0,db_power_amplitude_convention,spectral,deepseek/deepseek-chat,0,True,True,0,0.0,0.001,False,True,False
db_power_amplitude_convention__deepseek-chat__rep1,db_power_amplitude_convention,spectral,deepseek/deepseek-chat,1,True,True,0,0.0,0.001,False,True,False
db_power_amplitude_convention__deepseek-chat__rep2,db_power_amplitude_convention,spectral,deepseek/deepseek-chat,2,True,True,0,0.0,0.001,False,True,False
db_power_amplitude_convention__deepseek-chat__rep3,db_power_amplitude_convention,spectral,deepseek/deepseek-chat,3,True,True,0,0.0,0.001,False,True,False
freq_axis_mapping__deepseek-chat__rep0,freq_axis_mapping,spectral,deepseek/deepseek-chat,0,True,True,0,0.0,1e-06,False,True,False
freq_axis_mapping__deepseek-chat__rep1,freq_axis_mapping,spectral,deepseek/deepseek-chat,1,True,True,0,0.0,1e-06,False,True,False
freq_axis_mapping__deepseek-chat__rep2,freq_axis_mapping,spectral,deepseek/deepseek-chat,2,True,True,0,0.0,1e-06,False,True,False
freq_axis_mapping__deepseek-chat__rep3,freq_axis_mapping,spectral,deepseek/deepseek-chat,3,True,True,0,0.0,1e-06,False,True,False
welch_psd_normalization__deepseek-chat__rep0,welch_psd_normalization,spectral,deepseek/deepseek-chat,0,True,True,0,0.0017062591301592507,0.07180738306316699,False,False,
welch_psd_normalization__deepseek-chat__rep1,welch_psd_normalization,spectral,deepseek/deepseek-chat,1,True,True,0,0.0017062591301592507,0.07180738306316699,False,False,
welch_psd_normalization__deepseek-chat__rep2,welch_psd_normalization,spectral,deepseek/deepseek-chat,2,True,True,0,0.0017062591301592507,0.07180738306316699,False,False,
welch_psd_normalization__deepseek-chat__rep3,welch_psd_normalization,spectral,deepseek/deepseek-chat,3,True,True,0,0.0017062591301592507,0.07180738306316699,False,False,
psd_naive_periodogram__deepseek-chat__rep0,psd_naive_periodogram,spectral,deepseek/deepseek-chat,0,True,True,0,7.943030520269815e-05,0.02,False,True,False
psd_naive_periodogram__deepseek-chat__rep1,psd_naive_periodogram,spectral,deepseek/deepseek-chat,1,True,True,0,7.943030520269815e-05,0.02,False,True,False
psd_naive_periodogram__deepseek-chat__rep2,psd_naive_periodogram,spectral,deepseek/deepseek-chat,2,True,True,0,0.0004492267017649301,0.02,False,True,True
psd_naive_periodogram__deepseek-chat__rep3,psd_naive_periodogram,spectral,deepseek/deepseek-chat,3,True,True,0,7.943030520269815e-05,0.02,False,True,False
window_power_normalization__deepseek-chat__rep0,window_power_normalization,spectral,deepseek/deepseek-chat,0,True,True,0,4.440892098500626e-16,0.05,False,True,False
window_power_normalization__deepseek-chat__rep1,window_power_normalization,spectral,deepseek/deepseek-chat,1,True,True,0,4.440892098500626e-16,0.05,False,True,False
window_power_normalization__deepseek-chat__rep2,window_power_normalization,spectral,deepseek/deepseek-chat,2,True,True,0,4.440892098500626e-16,0.05,False,True,False
window_power_normalization__deepseek-chat__rep3,window_power_normalization,spectral,deepseek/deepseek-chat,3,True,True,1,4095.000000000002,0.05,False,True,True
fir_unity_dc_gain__deepseek-chat__rep0,fir_unity_dc_gain,filter,deepseek/deepseek-chat,0,True,True,0,2.220446049250313e-16,0.001,False,True,True
fir_unity_dc_gain__deepseek-chat__rep1,fir_unity_dc_gain,filter,deepseek/deepseek-chat,1,True,True,0,2.220446049250313e-16,0.001,False,True,True
fir_unity_dc_gain__deepseek-chat__rep2,fir_unity_dc_gain,filter,deepseek/deepseek-chat,2,True,True,0,2.220446049250313e-16,0.001,False,True,True
fir_unity_dc_gain__deepseek-chat__rep3,fir_unity_dc_gain,filter,deepseek/deepseek-chat,3,True,True,0,2.220446049250313e-16,0.001,False,True,False
butterworth_3db_gain__deepseek-chat__rep0,butterworth_3db_gain,filter,deepseek/deepseek-chat,0,True,False,0,,0.001,True,True,
butterworth_3db_gain__deepseek-chat__rep1,butterworth_3db_gain,filter,deepseek/deepseek-chat,1,True,False,0,,0.001,True,True,
butterworth_3db_gain__deepseek-chat__rep2,butterworth_3db_gain,filter,deepseek/deepseek-chat,2,True,True,0,0.0,0.001,False,True,False
butterworth_3db_gain__deepseek-chat__rep3,butterworth_3db_gain,filter,deepseek/deepseek-chat,3,True,True,0,0.0,0.001,False,True,False
freqz_db_magnitude__deepseek-chat__rep0,freqz_db_magnitude,filter,deepseek/deepseek-chat,0,True,True,1,0.2027477696369316,0.02,False,True,False
freqz_db_magnitude__deepseek-chat__rep1,freqz_db_magnitude,filter,deepseek/deepseek-chat,1,True,True,1,0.16406035799746985,0.02,False,True,False
freqz_db_magnitude__deepseek-chat__rep2,freqz_db_magnitude,filter,deepseek/deepseek-chat,2,True,True,0,2.9437345863241086e-08,0.02,False,True,False
freqz_db_magnitude__deepseek-chat__rep3,freqz_db_magnitude,filter,deepseek/deepseek-chat,3,True,True,1,0.2027477694394562,0.02,False,True,False
iir_impulse_energy__deepseek-chat__rep0,iir_impulse_energy,filter,deepseek/deepseek-chat,0,True,False,0,,0.0001,True,True,
iir_impulse_energy__deepseek-chat__rep1,iir_impulse_energy,filter,deepseek/deepseek-chat,1,True,False,0,,0.0001,True,True,
iir_impulse_energy__deepseek-chat__rep2,iir_impulse_energy,filter,deepseek/deepseek-chat,2,True,True,0,2.7601140318214027e-16,0.0001,False,True,False
iir_impulse_energy__deepseek-chat__rep3,iir_impulse_energy,filter,deepseek/deepseek-chat,3,True,True,0,2.7601140318214027e-16,0.0001,False,True,False
